ID,MODEL_NO,DIMAID,WID,AIRLINE,AIRCRAFT_TYPE,REGISTRATION,DESCRIPTION,SIZE,PRICE,SHIPPING,TAX,COMPANY,ORDEREDFROM,DATEOFORDER,HangarClub,PictureID
4393,ACFBJTJ,,28409,AIR Charter,SE210,F-BJTJ,Aeroclassics Air Charter Se-210 Caravelle III 1:400 - ACFBJTJ - ID#28409; 1970s  Colors. Named  Bourbonnaise . Air France Hybrid Colors. With Additional  Air France  titles. Exclusive to the 400SH Club.Exclusive for Hangar Club members.Exclusive for 400 Scale Hangar Club;F-BJTJ; HC040,1:400,30.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4350.0
4394,ACFBLCC,,23830,AIR FRANCE,B707-300,F-BLCC,Aeroclassics Air France B 707-328C 1:400 - ACFBLCC - ID#23830/hc-038; 1970s  Colors. Named:  Le Pelican 1  With Combi door. With Rolling Gears. Exclusive for Hangar Club members.F-BLCC,1:400,40.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4351.0
4395,ACVTDVB,,23105,AIR INDIA,B707-300,VT-DVB,Aeroclassics Air India B 707-320C 1:400 - ACVTDVB - ID#23105; 1970s  Colors. With Polished Belly. With Rolling Gears. Named  Kamet . 400SH Club Model.Exclusive for Hangar Club members.VT-DVB,1:400,50.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,85.0
4396,G2SWA349,,35385,Southwest,B737-800,N8301J,Gemini Jets Southwest Airlines B 737-8H4WL 1:200 - G2SWA349 - ID#35385; Canyon Blue  Colors.N8301J,1:200,52.95,0.0,0.0,GEMINIJETS,WAFFLECOLLECTIBLES,2013-04-08,False,4353.0
4397,HC-020,,16080,AMERICAN AIRLINES,DC3,NC28325,Green Box Models American Airlines DC-3-217C 1:400 - HC-020 - ID#16080; 1940s  Colors.  Flagship Skysleeper  Titles. Named  Flagship San Francisco . Aeroclassics Mould. Exclusive for the 400 Scale Hangar Club.NC28325,1:400,40.0,0.0,0.0,GREEN BOX,WAFFLECOLLECTIBLES,2013-03-10,True,2235.0
4398,HC-028,,19477,ATI,DC9-30,I-ATIK,Aeroclassics ATI Aero Trasporti Italiani DC-9-32 1:400 - HC-028 - ID#19477;  1980s  Colors. Exclusive for Club Members. I-ATIK,1:400,55.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,2378.0
4399,PH4THA928,,35829,THAI AIRWAYS,A340-600,HS-TNE,Phoenix Models Thai Airways International A340-642 1:400 - PH4THA928 - ID#35829; 2010s  Colors. With  Star Alliance  Logo. HS-TNE,1:400,33.4,0.0,0.0,PHOENIX MODELS,WAFFLECOLLECTIBLES,2013-06-26,True,4356.0
4400,HC-039,,24796,BRITISH AIRWAYS,A320-100,G-BUSC,Aeroclassics British Airways A320-111 1:400 - HC-039 - ID#24796; Landor  Colors. With  The World's Biggest Offer  titles. Exclusive for 400ScaleHangar.net Club. G-BUSC,1:400,40.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4357.0
4401,ACCGCPE,,22852,CANADIAN AIRLINES,DC10-30,C-GCPE,Aeroclassics Canadian Airlines DC-10-30 1:400 - ACCGCPE - ID#22852; Chevron  Colors. With Polished Belly. Exclusive for 400 Scale Hangar Club.C-GCPE;HC-036,1:400,40.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4358.0
4402,HC-015,,14372,CANADIAN PACIFIC,DC6,CF-CZS,Aeroclassics Canadian Pacific DC-6B 1:400 - HC-015 - ID#14372;  1950s  Colors. Named  Empress of Montreal . Exclusive for Club Members.,1:400,40.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4359.0
4403,HC-027,,19087,Ciskei International,CV990,N8357C,Aeroclassics Ciskei International Airways CV-990 1:400 - HC-027 - ID#19087; 1980s  Colors. With Rolling Gears.Exclusive to the 400SH HANGAR CLUB;N8357C,1:400,35.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4360.0
4404,HC-008,,11252,COLUMBIA AIRLINES,B747-100,N9675,BigBird400 Fantasy Columbia Airlines B 747-123 1:400 - HC-008 - ID#11252;  Airport 75 Fantasy  Colors. With  Polished  Fuselage. Exclusive for the 400 Scale Hangar Club.N9675,1:400,80.0,0.0,0.0,BIGBIRD400,WAFFLECOLLECTIBLES,2013-03-10,True,4361.0
4406,HC-003,,8424,EL AL,B727,4X-ABB,Aeroclassics El Al B 720-058B 1:400 - HC-003 - ID#8424; 1970s  Colors. With  25th Anniversary  Logo. With Chrome Stand and Numbered Card. Exclusive for Club Members. GSE = Passenger Stairs.4X-ABB,1:400,40.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4363.0
4407,ACN683FE,,22138,FEDEX,A300-600,N683FE,Aeroclassics Federal Express A300F4-605R 1:400 - ACN683FE - ID#22138; 1990s  Colors. With  100 years of magic-Walt Disney World-Where Dreams Come True  - Sticker. Exclusive for 400ScaleHangar.net Club. N683FE,1:400,40.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4364.0
4408,HC-041,,30958,FLYING TIGERS,DC8-63,N624FT,Aeroclassics Flying Tigers DC-8-63FAF 1:400 - ACN624FT - ID#30958; Canadian Pacific Hybrid  Colors. Exclusive For  400 Scale Hangar Club .N624FT;HC-041,1:400,40.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4365.0
4409,ACPKGFU,,17640,GARUDA INDONESIA,F28-300,PK-GFU,Aeroclassics Garuda Indonesia F.28-3000R 1:400 - ACPKGFU-HC-023 - ID#17640; 1990s  Colors. With  Visit Indonesia Year 1991  Titles. Exclusive for 400ScaleHangar.net Club. PK-GFU,1:400,50.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4366.0
4410,HC-021,,16827,INDIAN AIRLINES,A300-200,VT-EVD,Aeroclassics Indian Airlines A300B4-203 1:400 - HC-021 - ID#16827 . With  50 Years Of Flying  Titles. Exclusive for Hangar Club members.  VT-EVD,1:400,60.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,1174.0
4412,G2VIR364,,35384,Virgin Atlantic,A330-300,G-VRAY,Gemini Jets Virgin Atlantic Airways A330-343X 1:200 - G2VIR364 - ID#35384; 2010  Colors. Named  Miss Sunshine G-VRAY,1:200,88.95,0.0,0.0,GEMINIJETS,WAFFLECOLLECTIBLES,2013-04-08,False,4369.0
4413,HC-022A,,17652,KLM,B747-400,PH-BFA,Aeroclassics KLM Royal Dutch Airlines B 747-406 1:400 - HC-XXX - ID#17652; 1990s  Colors. Named  City of Atlanta . With  KLM / Northwest  Logo. Exclusive for Club Members.  PH-BFA,1:400,80.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4370.0
4415,ACN1R,,22139,LA DODGERS,CV440-86,N1R,Aeroclassics Los Angeles Dodgers CV-440-86 1:400 - ACN1R - ID#22139; Los Angeles Dodgers Team Aircraft . With Rolling Gears. Exclusive to the 400SH HANGAR CLUB.N1R HC-034,1:400,30.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4372.0
4416,HC-014,,13827,Lanica,CV880,N880JT,Aeroclassics Lanica CV-880M-22-22 1:400 - HC-014 - ID#13827;  1980s - Cathay Pacific Hybrid  Colors. Exclusive for Club Members.N880JT,1:400,40.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4373.0
4418,HC-026,,18875,SINGAPORE AIRLINES,A300-200,9V-STF,Aeroclassics Singapore Airlines A300B4-203 1:400 - HC-026 - ID#18875; 1980s  Colors. With  Singapore Celebrating 25th Anniversary  Logo. With Rolling Gears. Exclusive for Club Members.9V-STF,1:400,50.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4375.0
4419,HC-001,,7804,Trans Canada Airlines,L1049G,CF-TEV,Aeroclassics Trans Canada Airlines L-1049G-82-109 Super Constellation 1:400 - HC-001 - ID#7804; 1950s  Colors. Exclusive for Club Members. GSE= Custom Stairs.CF-TEV,1:400,55.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4376.0
4420,HC-010,,11935,TWA,B707-300,N779TW,Aeroclassics Trans World Airlines B 707-331B 1:400 - HC-010 - ID#11935; 1980s  Colors. With  Hollow  Titles. Exclusive for Club Members.N779TW,1:400,40.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4377.0
4421,HC-030,,20448,TWA,B727,N852TW,Aeroclassics Trans World Airlines B 727-031C 1:400 - HC-030 - ID#20448;  1960s - Twin Globe  Colors. With Rolling Gears. Exclusive for Club Members.N852TW,1:400,40.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4378.0
4422,HC-018,,15319,US AIRWAYS,B737-200,N210US,Aeroclassics USAir B 737-222 1:400 - HC-018 - ID#15319;  Piedmont - Hybrid  Colors. Exclusive for Club Members.N210US,1:400,40.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4379.0
4423,GJPAA109,,27635,PANAM,B707-300,N492PA,Gemini Jets Pan American World Airways B 707-321B 1:400 - GJPAA109 - ID#27635; 1970s  Colors. N492PA,1:400,23.95,0.0,0.0,GEMINIJETS,WAFFLECOLLECTIBLES,2012-11-20,False,4380.0
4424,HC-013,,13489,Wardair,B707-300,CF-ZYP,Aeroclassics Wardair Canada B 707-396C 1:400 - HC-013 - ID#13489; 1970s  Colors. With  Canada  Tail. Named  W.R. 'Wop' May . Exclusive Club Members.CF-ZYP,1:400,40.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4381.0
4425,HC-017,,14160,ZAS,DC9-33,YU-AHJ,Aeroclassics ZAS Airline Of Egypt DC-9-32 1:400 - HC-017 - ID#14160; Adria Airways - Hybrid  Colors. Exclusive for Club Members.YU-AHJ,1:400,40.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4382.0
4426,HC-005,,18302,SAS,DC9-41,SE-DDT,Aeroclassics SAS Scandinavian Airlines DC-9-41 1:400 - ACSEDDT - ID#18302;  1970s - Polished  Colors. SE-DDT,1:400,40.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4383.0
4427,HC-019,,16146,AIR CANADA,B767-300ER,C-FMWV,Aeroclassics Air Canada B 767-333ER 1:400 - HC-019 - ID#16146; 2004s  Colors. With  Star Alliance  Logo. Exclusive for Club Members.C-FMWV,1:400,40.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4384.0
4428,HC-031,,20792,KLM,L-188C,PH-LLA,Aeroclassics KLM Royal Dutch Airlines L-188C Electra 1:400 - HC-031 - ID#20792; 1959  Delivery Colors. Exclusive for Club Members.PH-LLA,1:400,35.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4385.0
4429,HC-002,,8031,Drax Air,L188A,PP-DRX,Aeroclassics Fantasy Drax Air Freight L-188A Electra 1:400 - HC-002 - ID#8031; From James Bond  Moonraker . Exclusive for Club Members.PP-DRX,1:400,60.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-03-10,True,4386.0
4430,,,35258,Cathay Pacific,B747-300,B-HOL,Aviation200 Cathay Pacific B 747-367 1:200 - ID#35258 ; Old Colors B-HOL,1:200,142.95,0.0,0.0,AVIATION200,WAFFLECOLLECTIBLES,2012-11-20,False,4387.0
4431,,,35259,Cathay Pacific,B747-300,VR-HII,Aviation200 Cathay Pacific B 747-367 1:200 - ID#35259;VR-HII,1:200,142.95,0.0,0.0,Aviation200,WAFFLECOLLECTIBLES,2012-11-20,False,4388.0
4432,BBOX1212,,34493,ANA,B747SR,JA8136,Blue Box ANA All Nippon Airways B 747SR-81 1:200 - BBOX1212 - ID#34493; Mohican  Colors.JA8136,1:200,113.0,0.0,0.0,BLUE BOX,WAFFLECOLLECTIBLES,2013-02-08,False,4389.0
4433,BBOX1212,,34493,ANA,B747SR,JA8136,Blue Box ANA All Nippon Airways B 747SR-81 1:200 - BBOX1212 - ID#34493; Mohican  Colors.JA8136,1:200,117.0,0.0,0.0,BLUE BOX,WAFFLECOLLECTIBLES,2012-10-09,False,4390.0
4434,PH220082,,34957,Hainan Airlines,B787-800,B-2728,Phoenix Models Hainan Airlines B 787-81B 1:200 - 20082 - ID#34957; 2010  Colors.B-2728,1:200,66.95,0.0,0.0,PHOENIX MODELS,WAFFLECOLLECTIBLES,2013-03-17,False,4391.0
4435,BBOX1313,,34494,JAL,B747-100,JA8101,Blue Box JAL Japan Airlines B 747-146 1:200 - BBOX1313 - ID#34494 ; 1980s  Colors.JA8101,1:200,113.0,0.0,0.0,BLUE BOX,WAFFLECOLLECTIBLES,2013-02-08,False,4392.0
4436,AV2738009,,21862,Royal Air Maroc,B737-800,CN-ROB,Aviation200 Royal Air Maroc B 737-8B6WL 1:200 - AV2738009 - ID#21862; 1990s  Colors. With Rolling Gears.CN-ROB,1:200,50.0,0.0,0.0,AVIATION200,RUSSELL EPSTEIN,2013-03-28,False,4393.0
4437,AV2737009,,23429,LUXAIR,B737-700,LX-LGR,Aviation200 Luxair B 737-7C9WL 1:200 - AV2737009 - ID#23429 ; 2007s  Colors. Named  Chateau de Fischbach .LX-LGR,1:200,50.0,0.0,0.0,AVIATION200,RUSSELL EPSTEIN,2013-03-28,False,4394.0
4438,G2BAW205,,25033,BRITISH AIRWAYS,B757-200,G-CPET,Gemini Jets British Airways B 757-236 1:200 - G2BAW205 - ID#25033; 1970s Retro  Colors. Farewell 757.G-CPET,1:200,50.0,0.0,0.0,GEMINIJETS,RUSSELL EPSTEIN,2013-03-28,False,4395.0
4440,AC18289E,,SAMPLE,EASTERN AIRLINES,L1049C,N6225C,Aeroclassics Eastern Airlines L-1049C-55-83 Super Constellation 1:400 - AC18289E - ID#8168; 1970s - Hockey Stick  Colors. Exclusive for Collectable Jets. N6225C  SAMPLE,1:400,5.0,0.0,0.0,AEROCLASSICS,RUSSELL EPSTEIN,2013-03-28,False,4397.0
4441,ACAAL014,,1893,AMERICAN AIRLINES,DC6,N90763,Aeroclassics American Airlines DC-6B 1:400 - ACAAL014 - ID#1893;  1960s - Lightning Bolt  Colors. Decaled Model.N90763,1:400,25.0,0.0,0.0,AEROCLASSICS,RUSSELL EPSTEIN,2013-03-28,False,4398.0
4442,ACANBLW,,14620,LANICA,CV880,AN-BLW,Aeroclassics Lanica CV-880-22-2 1:400 - ACANBLW - ID#14620; 1970s  Colors. With  Lineas Aereas de Nicaragua  Titles. Exclusive for AdamJets.AN-BLW,1:400,25.0,0.0,0.0,AEROCLASSICS,RUSSELL EPSTEIN,2013-03-28,False,4399.0
4443,ACAAGSET,,11111,AIR ATLANTIC,DC6,G-SIXC,Aeroclassics Air Atlantique DC-6A 1:400 - ACAAGSET - ID#11111;1990s  Colors. Exclusive for Air Atlantique and Air Illustrated Magazine. Model 2 in a SET of 3.G-SIXC,1:400,25.0,0.0,0.0,AEROCLASSICS,RUSSELL EPSTEIN,2013-03-28,False,4400.0
4444,AC18264,,5724,NORDAIR,CV990,N5615,Aeroclassics Nordair CV-990A-30-5 1:400 - AC18264 - ID#5724; 1960s  Colors;N5615,1:400,25.0,0.0,0.0,AEROCLASSICS,RUSSELL EPSTEIN,2013-03-28,False,4401.0
4445,AC18281,,6764,QUBECAIR,F27,CF-QBA,Aeroclassics Quebecair F-27 1:400 - AC18281 - ID#6764;  1980s  Colors.CF-QBA,1:400,25.0,0.0,0.0,AEROCLASSICS,RUSSELL EPSTEIN,2013-03-28,False,4402.0
4446,ACEAL007,,1884,EASTERN AIRLINES,DC6,N6121C,Aeroclassics Eastern Airlines DC-6B 1:400 - ACEAL007 - ID#1884; 1950s  Colors. Decaled Model.N6121C,1:400,25.0,0.0,0.0,AEROCLASSICS,RUSSELL EPSTEIN,2013-03-28,False,4403.0
4447,AC18202,,6900,ALASKA AIRLINES,DC6,N6118C,Aeroclassics Alaska Airlines DC-6A 1:400 - AC18202 - ID#6900; 1960s  Colors.N6118C,1:400,25.0,0.0,0.0,AEROCLASSICS,RUSSELL EPSTEIN,2013-03-28,False,4404.0
4448,NA,,10101,ATLANTIC AIRLINES,L188,G-LOFD,Skyline Models Atlantic Airlines L-188CF Electra 1:200 - NA - ID#10101; 1990s  Colors.G-LOFD,1:400,25.0,0.0,0.0,SKYLINE,RUSSELL EPSTEIN,2013-03-28,False,4405.0
4449,ACHAW067,,1948,HUGES AIRWEST,DC9,N9358,Aeroclassics Hughes Airwest DC-9-15 1:400 - ACHAW067 - ID#1948 ; 1970s - Ultra Yellow  Colors. Tampo Printed.N9358,1:400,25.0,0.0,0.0,AEROCLASSICS,RUSSELL EPSTEIN,2013-03-28,False,4406.0
4450,NA,,8419,TRANSAMERICA,L-188C,N854U,Aeroclassics Transamerica Airlines L-188CF Electra 1:400 - AC18XXX - ID#8419; 1970s  Colors. N854U,1:400,25.0,0.0,0.0,AEROCLASSICS,RUSSELL EPSTEIN,2013-03-28,False,4407.0
4451,NA,,6401,CATHAY PACIFIC,DC6,VR-HFX,Green Box Models Cathay Pacific DC-6B 1:400 - NA - ID#6401; 1950s  Colors. Aeroclassics Mould.VR-HFX,1:400,25.0,0.0,0.0,GREEN BOX,RUSSELL EPSTEIN,2013-03-28,False,4408.0
4452,ACEIN061,,1942,AER LINGUS,BAC111-200,EI-ANH,Aeroclassics Aer Lingus 111-208AL 1:400 - ACEIN061 - ID#1942; 1970s  Colors. Named  St. Ronin . Tampo Printed.EI-ANH,1:400,25.0,0.0,0.0,AEROCLASSICS,RUSSELL EPSTEIN,2013-03-28,False,4409.0
4453,ACAAL010,,1887,AMERICAN AIRLINES,BAC111,N5039,Aeroclassics American Airlines 111-401AK 1:400 - ACAAL010 - ID#1887; 1960s - AstroJet  Colors. Decaled Model.N5039,1:400,25.0,0.0,0.0,AEROCLASSICS,RUSSELL EPSTEIN,2013-03-28,False,4410.0
4454,ACQBA051,,1890,Quebecair,BAC111,CF-QBN,Aeroclassics Quebecair 111-304AX 1:400 - ACQBA051 - ID#1890; 1980s - Silver and Blue  Colors. Tampo Printed.CF-QBN,1:400,25.0,0.0,0.0,AEROCLASSICS,RUSSELL EPSTEIN,2013-03-28,False,4411.0
4455,GJAAL491,,SAMPLE,AMERICAN AIRLINES,L188,N6128A,Gemini Jets American Airlines L-188 Electra 1:400 - GJAAL491 - ID#8922. AstroJet  Colors. Named  Flagship San Diego . Aeroclassics Mould. . N6128A; SAMPLE,1:400,25.0,0.0,0.0,GEMINIJETS,RUSSELL EPSTEIN,2013-03-28,False,4412.0
4457,ACHL8227,,SCRT01,KOREAN AIR,A330-200,HL8227,Aeroclassics Korean Air A330-211 1:400 - ACHL8227 - ID#; 1990s  Colors. With  SkyTeam  Logo. HL8227,1:400,38.0,2.5,0.0,AEROCLASSICS,AIRPLANEREPLICAS,2012-03-02,False,4414.0
4458,ACHL8227,,SCRT01,KOREAN AIR,A330-200,HL8227,Aeroclassics Korean Air A330-211 1:400 - ACHL8227 - ID#; 1990s  Colors. With  SkyTeam  Logo. HL8227,1:400,38.0,2.5,0.0,AEROCLASSICS,AIRPLANEREPLICAS,2012-03-02,False,4414.0
4459,JC4ANZ930,66855.0,35772,AIR NEW ZEALAND,ATR72-600,ZK-MVA,JC Wings Air New Zealand ATR-72-600 1:400 JC4ANZ930 ID#35772;All Blacks  Colors. With  Star Alliance  Logo. With Rolling Gears.ZK-MVA,1:400,25.0,0.0,0.0,JC WINGS,WAFFLECOLLECTIBLES,2013-02-24,False,4416.0
4460,JC4ANZ930,66855.0,35772,AIR NEW ZEALAND,ATR72-600,ZK-MVA,JC Wings Air New Zealand ATR-72-600 1:400 JC4ANZ930 ID#35772;All Blacks  Colors. With  Star Alliance  Logo. With Rolling Gears.ZK-MVA,1:400,25.0,0.0,0.0,JC WINGS,WAFFLECOLLECTIBLES,2013-02-24,False,4417.0
4461,IF103019,,20219,Singapore Airlines,DC10-30,9V-SDB,Inflight200 Singapore Airlines DC-10-30 1:200 - IF103019 - ID#20219;  1980s  Colors.  California Here We Come  Titles.9V-SDB,1:200,138.0,0.0,0.0,INFLIGHT200,WAFFLECOLLECTIBLES,2013-04-07,False,4418.0
4462,JC2XX2982,,35266,China Southern,A380-800,B-6136,JC Wings China Southern Airlines A380-841 1:200 - XX2982 - ID#35266;  Air Show China 2012  colors;B-6136,1:200,98.0,0.0,0.0,JC WINGS,WAFFLECOLLECTIBLES,2013-02-22,False,4419.0
4463,JC2XX2986,,35267,Qantas,B767-300ER,VH-EFR,JC Wings Qantas Airways B 767-381FER 1:200 - XX2986 - ID#35267; 2008  Colors. With Red tail missing Kangaroo logo. With  Qantas Freight  Titles. With small  operated by Express Feighters Australia  tiltles.VH-EFR,1:200,58.0,0.0,0.0,JC WINGS,WAFFLECOLLECTIBLES,2013-02-22,False,4420.0
4464,JC2XX2987,,35291,Qantas,B767-300ER,VH-OGL,JC Wings Qantas Airways B 767-338ER 1:200 - XX2987 - ID#35291; Wallibies - Rugby  Colors. VH-OGL,1:200,58.0,0.0,0.0,JC WINGS,WAFFLECOLLECTIBLES,2013-02-22,False,4421.0
4465,JC2XX2883,,35293,Virgin Australia,B737-800,VH-YFF,JC Wings Virgin Australia B 737-8FE 1:200 - XX2883 - ID#35293; 2011s  Colors.VH-YFF,1:200,49.0,0.0,0.0,JC WINGS,WAFFLECOLLECTIBLES,2013-02-22,False,4422.0
4466,JC2XX2866,,35292,Virgin Australia,B737-800,VH-YIA,JC Wings Virgin Australia B 737-8FE 1:200 - XX2866 - ID#35292;  2010s  Colors.VH-YIA,1:200,49.0,0.0,0.0,JC WINGS,WAFFLECOLLECTIBLES,2013-02-22,False,4423.0
4467,WID9794,,9794,Air France,B747-200,F-BPVR,BigBird400 Air France B 747-228F 1:400 - BB4-2005-XX - ID#9794; 1990s  Colors. With  Air France Cargo  Titles. With  SkyTeam  Logo.F-BPVR,1:400,40.5,0.0,0.0,BIGBIRD400,WAFFLECOLLECTIBLES,2013-03-17,False,4424.0
4468,IF70051,,22152,Qantas,B707-300,VH-EAB,Inflight200 Qantas Airways B 707-338C 1:200 - IF70051 - ID#22152; Have a Qantastic Christmas  Colors. VH-EAB,1:200,58.5,0.0,0.0,INFLIGHT200,WAFFLECOLLECTIBLES,2013-03-17,False,4425.0
4469,PH410716,,34966,Jet Airways,A330-300,VT-JWR,Phoenix Models Jet Airways A330-302 1:400 - 10716 - ID#34966; 2007s  Colors.VT-JWR,1:400,35.0,0.0,0.0,PHOENIX MODELS,WAFFLECOLLECTIBLES,2013-01-02,False,4426.0
4470,PH410716,,34966,Jet Airways,A330-300,VT-JWR,Phoenix Models Jet Airways A330-302 1:400 - 10716 - ID#34966; 2007s  Colors.VT-JWR,1:400,35.0,0.0,0.0,PHOENIX MODELS,WAFFLECOLLECTIBLES,2013-01-02,False,4426.0
4473,ACPPVLP,,22794,VARIG,B707-300,PP-VLP,Aeroclassics VARIG B 707-323C 1:400 - ACPPVLP - ID#22794; 1970s  Colors. With  Varig Cargo  Titles. With Polished Fuselage. With Rolling Gears.PP-VLP,1:400,27.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-04-05,False,4430.0
4474,AC18045,,3890,VARIG,B707-400,PP-VJA,Aeroclassics VARIG B 707-441 1:400 - AC18045 - ID#3890; 1960s - Delivery  Colors.PP-VJA,1:400,73.0,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-04-05,False,4431.0
4475,AJVG002,,6661,VARIG,B767-300ER,PP-VOL,AeroJets VARIG B 767-341ER 1:400 - AJVG002 - ID#6661; 1980s  Colors.PP-VOL,1:400,26.0,0.0,0.0,AEROJETS,WAFFLECOLLECTIBLES,2013-04-05,False,4432.0
4478,HL2001,,21312,PANAM,DC4,N88951,Hobby Master Pan American World Airways DC-4-1009 1:200 - HL2001 - ID#21312; 1940s  Colors. Named  Clipper Racer .N88951,1:200,40.0,0.0,0.0,HOBBYMASTER,RUSSELL EPSTEIN,2013-04-02,False,4435.0
4479,HL4001,,22443,PANAM,B377,N1022V,Hobby Master Pan American World Airways B 377 Stratocruiser 1:200 - HL4001 - ID#22443;Named  Clipper Nightingale .  October 24; 1950 - Delivery  Colors.N1022V,1:200,30.0,0.0,0.0,HOBBYMASTER,RUSSELL EPSTEIN,2013-04-02,False,4436.0
4481,HL1007,,22441,AIR NEW ZEALAND,L-188C,ZK-TEB,Hobby Master Air New Zealand L-188C Electra 1:200 - HL1007 - ID#22441; Named  Atarau .  1965 Hybrid TEAL/Air New Zealand  Colors.ZK-TEB,1:200,20.0,0.0,0.0,HOBBYMASTER,RUSSELL EPSTEIN,2013-04-02,False,4438.0
4483,HL1010,,23529,Northwest Territorial,L-188C,C-FIJR,Hobby Master Northwest Territorial Airways L-188C Electra 1:200 - HL1010 - ID#23529; 1970s  Colors.C-FIJR,1:200,20.0,0.0,0.0,HOBBYMASTER,RUSSELL EPSTEIN,2013-04-02,False,4440.0
4487,CA 24C2,,22187,Northwest,B727-200,N288US,Western Models Northwest Airlines B 727-251 1:200 - CA 24C2 - ID#22187; 1970s  Colors.N288US,1:200,0.0,0.0,0.0,WESTERN MODELS,RUSSELL EPSTEIN,2013-04-02,False,4444.0
4488,CA 3KA,,23465,Trans Canada Airlines,L1049G,CF-TEV,Western Models Trans Canada Airlines L-1049G-82-109 Super Constellation 1:200 - CA 3KA - ID#23465; 1950s  Colors. CF-TEV,1:200,40.0,0.0,0.0,WESTERN MODELS,RUSSELL EPSTEIN,2013-04-02,False,4445.0
4489,WM28,,23488,El Al,L049D-46,4X-AKA,Western Models El Al L-049D-46-10 Constellation 1:200 - WM28 - ID#23488; 1950s  Colors.4X-AKA,1:200,60.0,0.0,0.0,WESTERN MODELS,RUSSELL EPSTEIN,2013-04-02,False,4446.0
4492,AC3BNBL,,35364,Air Mauritius,A330-200,3B-NBL,Aeroclassics Air Mauritius A330-202 1:400 - AC3BNBL - ID#35364;Late  2000s  Colors. 3B-NBL,1:400,33.7,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-04-04,False,4449.0
4494,ACVPBWH,,35362,Aeroflot,A320-200,VP-BWH,Aeroclassics Aeroflot A320-214 1:400 - ACVPBWH - ID#35362;  Retro  Colors. Ì. Áàëàêèðåâ / M.BalakirevVP-BWH,1:400,31.7,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-04-04,False,4451.0
4495,ACVPBWH,,35362,Aeroflot,A320-200,VP-BWH,Aeroclassics Aeroflot A320-214 1:400 - ACVPBWH - ID#35362;  Retro  Colors. Ì. Áàëàêèðåâ / M.BalakirevVP-BWH,1:400,31.7,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-04-04,False,4452.0
4496,ACPHKFC,,35372,NLM,F27-200,PH-KFC,Aeroclassics NLM F.27-200 1:400 - ACPHKFC - ID#35372; 1970s  Colors. PH-KFC,1:400,29.8,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-04-04,False,4453.0
4497,ACFBPNA,,35371,Air InteR,F27,F-BPNA,Aeroclassics Air Inter F-27 1:400 - ACFBPNA - ID#35371; 1990s  colorsF-BPNA,1:400,29.8,0.0,0.0,AEROCLASSICS,WAFFLECOLLECTIBLES,2013-04-04,False,4454.0
